commit	val_bpb	memory_gb	status	description
13d579c	1.240629	1.1	keep	baseline: DEPTH=4 ASPECT_RATIO=64 model_dim=256
04996a5	1.251186	1.9	discard	ASPECT_RATIO=128 model_dim=512: bigger model=fewer steps=worse
96e0c4e	1.241505	1.1	discard	HEAD_DIM=64 (4 heads vs 2): more steps but marginally worse
1ecbe53	1.258411	1.1	discard	MATRIX_LR=0.06: higher Muon LR made it worse
e20a046	1.249517	1.0	discard	DEPTH=3: more steps (4360) but less capacity=worse
1db8450	1.270053	1.1	discard	no value embeddings: simpler but significantly worse
1b86798	1.237913	1.1	keep	WARMDOWN_RATIO=0.7: longer cooldown improves convergence
f560fab	1.235995	1.1	keep	WARMDOWN_RATIO=0.8: even longer cooldown even better
70c3065	1.235108	1.1	keep	WARMDOWN_RATIO=0.9: still improving
cd4a72a	1.234214	1.1	keep	WARMDOWN_RATIO=0.95: still improving
8788beb	1.233838	1.1	keep	WARMDOWN_RATIO=0.98: still improving (diminishing)
b3e1ac5	1.233979	1.1	discard	WARMDOWN_RATIO=1.0: slightly worse, 0.98 is the sweet spot
ce09cdd	1.233340	1.1	keep	WARMUP_RATIO=0.02 + WARMDOWN_RATIO=0.98: tiny warmup helps
b9449f6	1.234032	1.1	discard	WARMUP_RATIO=0.05: too much warmup, worse than 0.02
a0b945e	1.238021	1.1	discard	FINAL_LR_FRAC=0.1: residual LR hurts convergence
6c24e44	1.238076	1.1	discard	cosine warmdown: smoother but worse than linear
1529aac	1.234267	1.1	discard	ADAM_BETAS beta1=0.9: more smoothing but worse
0e22396	1.247057	1.1	discard	GeLU activation: much worse than ReLU²
7101a95	2.945631	1.1	discard	weight tying: LR mismatch (embedding_lr vs lm_head_lr) breaks training
0bfb261	1.234936	1.2	discard	VE all layers: more params=fewer steps=worse
85d04e6	1.230564	1.1	keep	MATRIX_LR=0.03: lower Muon LR improves convergence
7a9a7d3	1.225756	1.1	keep	MATRIX_LR=0.02: even lower still improving
b2bf272	1.230376	1.1	discard	MATRIX_LR=0.015: too low, 0.02 is optimal
01c0add	1.229512	1.1	discard	EMBEDDING_LR=0.4: lower embedding LR worse
96e7c04	1.227992	1.1	discard	EMBEDDING_LR=0.8: higher embedding LR also worse
9105688	1.233550	1.1	discard	UNEMBEDDING_LR=0.002: lower lm_head LR worse
57eeffd	1.231932	1.1	discard	UNEMBEDDING_LR=0.008: higher lm_head LR also worse
1f31d84	1.226065	1.1	discard	WEIGHT_DECAY=0.1: marginal diff (noise-level), 0.2 wins
5870947	1.232645	1.1	discard	WEIGHT_DECAY=0.0: no regularization is worse
1c7aa27	1.232446	1.1	discard	MLP 4x->3x: more steps but less capacity=worse
e73f102	1.229343	1.1	discard	ns_steps=3: faster but worse orthogonalization
cd7ae0d	1.232518	1.1	discard	remove ve_gate direct VE addition: gate is useful
3447f41	1.229457	1.1	discard	gradient clipping max_norm=1.0: slightly worse
e611c7c	1.231992	1.1	discard	Muon momentum fixed 0.95 no warmup: warmup important
4edaabf	1.249054	0.7	discard	DEVICE_BATCH_SIZE=4: too noisy, much worse
66a2195	1.228711	2.0	discard	DEVICE_BATCH_SIZE=16: too few steps (1820), worse
cc0fd62	1.229945	1.1	discard	MATRIX_LR=0.025: 0.02 is the true optimum
4cdeda6	1.223361	1.1	keep	ADAM_BETAS beta2=0.99: more stable variance improves
72362cd	1.229838	1.1	discard	ADAM_BETAS beta2=0.999: too stable, 0.99 is optimal
59137e6	1.225380	1.1	discard	ADAM_BETAS beta1=0.85: 0.8 is still optimal
0034c08	1.224006	1.1	discard	Muon beta2=0.99: slightly worse (0.95 is optimal)
0c70998	1.224697	1.1	discard	Muon momentum warmup 100 steps: 300 is better
5fe4171	1.223462	1.1	discard	Muon momentum warmup 500 steps: slightly worse than 300
435b4e8	1.228649	1.1	discard	softcap 15->30: wider cap hurts
2685a92	1.228802	1.1	discard	SwiGLU activation: slower+worse than ReLU²
649fc33	1.225858	1.3	discard	DEPTH=5 ASPECT_RATIO=30 model_dim=256: fewer steps worse
32d9958	1.225951	1.1	discard	Muon peak momentum 0.97: 0.95 is still optimal
1a2d5eb	1.229305	1.1	discard	remove logit softcap: softcap=15 is useful
15efa69	1.227785	1.1	discard	constant weight decay: scheduled decay to 0 is better
30f98b8	1.542106	1.6	discard	label smoothing 0.1: catastrophically worse
